depth,temp,salinity,oxygen,oxygensat,silicate,nitrate,chloro,pressure,phosphate,phaeo,potden,volanol,dynamicheight,ammonium,darkas
31.0,12.57,33.09,6.09,100.6,3.7,2.0,0.57,31,0.52,0.25,24.999,295.7,0.092,0.19,0.02
44.0,12.08,33.09,5.88,96.2,4.6,4.4,0.29,44,0.65,0.21,25.092,287.1,0.13,0.11,0.03
50.0,11.82,33.111,5.82,94.7,5.5,5.7,0.26,50,0.72,0.19,25.157,281.0,0.147,0.09,0.03
59.0,11.57,33.196,5.6,90.6,7.2,8.3,0.19,59,0.85,0.18,25.27,270.5,0.172,0.01,0.03
75.0,12.09,33.549,5.43,89.1,9.1,10.2,0.16,75,0.96,0.19,25.448,254.1,0.214,0.0,0.03
86.0,11.73,33.568,4.95,80.6,11.5,13.4,0.09,86,1.15,0.16,25.53,246.5,0.242,0.0,0.03
0.0,14.86,33.281,5.87,101.8,2.0,0.0,0.27,0,0.32,0.08,24.678,325.4,0.0,0.0,0.05
2.0,14.86,33.281,5.87,101.8,2.0,0.0,0.27,2,0.32,0.08,24.678,325.5,0.007,0.0,0.05
11.0,14.85,33.281,5.88,102.0,1.8,0.0,0.25,11,0.31,0.07,24.68,325.5,0.036,0.0,0.06
28.0,14.85,33.28,5.87,101.8,1.9,0.0,0.28,28,0.31,0.08,24.68,326.1,0.091,0.0,0.05
30.0,14.85,33.28,5.86,101.6,2.0,0.1,0.35,30,0.32,0.11,24.68,326.1,0.098,0.01,0.05
40.0,14.33,33.293,5.84,100.2,2.3,0.9,0.61,40,0.39,0.26,24.801,314.9,0.13,0.03,0.03
50.0,12.8,33.332,5.42,90.1,5.0,5.5,0.34,50,0.68,0.18,25.142,282.6,0.16,0.01,0.02
53.0,12.5,33.33,5.24,86.6,6.3,7.7,0.2,53,0.81,0.13,25.199,277.2,0.168,0.0,0.02
75.0,11.15,33.429,4.5,72.3,12.1,14.8,0.08,75,1.25,0.07,25.528,246.4,0.226,0.0,0.01
77.0,11.09,33.435,4.49,72.0,12.3,14.9,0.07,77,1.25,0.06,25.543,244.9,0.231,0.0,0.01
0.0,14.09,33.488,6.13,104.8,2.0,0.3,0.9,0,0.31,0.38,25.001,294.7,0.0,0.08,0.1
2.0,14.09,33.488,6.13,104.8,2.0,0.3,0.9,2,0.31,0.38,25.001,294.8,0.006,0.08,0.1
10.0,13.98,33.487,6.13,104.6,2.0,0.4,1.0,10,0.3,0.46,25.023,292.9,0.029,0.08,0.1
11.0,13.98,33.487,6.13,104.6,2.0,0.4,1.0,11,0.3,0.47,25.023,292.9,0.032,0.08,0.1
20.0,13.83,33.477,5.95,101.2,3.4,1.2,0.7,20,0.38,0.41,25.047,290.9,0.059,0.24,0.06
25.0,13.79,33.476,5.91,100.4,3.6,1.5,0.61,25,0.4,0.4,25.054,290.3,0.073,0.24,0.04
30.0,13.74,33.476,5.86,99.5,3.9,2.0,0.5,30,0.44,0.43,25.065,289.5,0.088,0.33,0.04
36.0,13.61,33.478,5.69,96.3,4.2,2.7,0.39,36,0.48,0.46,25.093,286.9,0.105,0.4,0.03
48.0,12.61,33.491,4.66,77.3,8.4,10.3,0.27,48,0.95,0.37,25.302,267.3,0.138,0.04,0.04
50.0,12.23,33.515,4.41,72.5,9.8,11.9,0.24,50,1.05,0.33,25.394,258.6,0.143,0.03,0.04
69.0,11.64,33.749,2.58,42.0,20.2,19.7,0.07,69,1.71,0.17,25.687,231.1,0.189,0.0,0.03
0.0,13.89,33.449,6.15,104.7,1.6,0.9,0.94,0,0.4,0.35,25.012,293.6,0.0,0.07,0.1
2.0,13.89,33.449,6.15,104.7,1.6,0.9,0.94,2,0.4,0.35,25.012,293.7,0.006,0.07,0.1
12.0,13.85,33.452,6.13,104.3,1.7,0.9,1.03,12,0.38,0.34,25.023,292.9,0.035,0.06,0.09
20.0,13.72,33.471,5.93,100.6,2.8,1.9,1.11,20,0.44,0.4,25.065,289.2,0.058,0.08,0.08
30.0,13.65,33.477,5.79,98.1,3.2,2.6,0.79,30,0.48,0.36,25.084,287.6,0.087,0.14,0.06
42.0,13.14,33.482,5.36,89.9,5.4,6.0,0.69,42,0.71,0.53,25.191,277.7,0.121,0.16,0.05
57.0,11.33,33.607,3.68,59.4,14.9,17.3,0.15,57,1.41,0.21,25.633,235.9,0.159,0.0,0.03
75.0,10.79,33.746,2.83,45.2,20.7,21.7,0.04,75,1.77,0.12,25.838,216.8,0.199,0.0,0.03
81.0,10.67,33.778,2.75,43.8,21.6,22.2,0.03,81,1.8,0.12,25.885,212.5,0.212,0.0,0.03
0.0,13.11,33.428,6.02,100.8,4.9,4.5,1.09,0,0.58,0.39,25.154,280.1,0.0,0.0,0.08
2.0,13.11,33.428,6.02,100.8,4.9,4.5,1.09,2,0.58,0.39,25.154,280.2,0.006,0.0,0.08
9.0,13.1,33.43,6.01,100.6,4.8,4.4,1.06,9,0.58,0.36,25.158,280.0,0.025,0.0,0.07
10.0,13.1,33.428,6.01,100.6,4.8,4.4,1.06,10,0.58,0.36,25.156,280.2,0.028,0.0,0.07
20.0,13.09,33.428,6.01,100.6,4.7,4.4,1.05,20,0.58,0.38,25.158,280.2,0.056,0.01,0.07
22.0,13.09,33.428,6.01,100.6,4.7,4.4,1.05,22,0.58,0.38,25.159,280.3,0.062,0.01,0.07
30.0,13.09,33.429,5.99,100.3,4.8,4.4,1.14,30,0.58,0.41,25.16,280.4,0.084,0.01,0.05
