depth,temp,salinity,oxygen,oxygensat,silicate,nitrate,chloro,pressure,phosphate,phaeo,potden,volanol,dynamicheight,ammonium
75.0,12.53,32.901,5.87,96.8,3.4,2.1,0.14,75,0.55,0.09,24.861,309.9,0.246,0.05
85.0,12.03,32.887,5.81,94.8,4.0,3.5,0.06,85,0.63,0.14,24.945,302.1,0.276,0.05
94.0,12.23,33.136,5.6,91.9,3.6,3.3,0.09,94,0.59,0.1,25.101,287.5,0.303,0.05
100.0,11.9,33.104,5.57,90.7,4.2,4.4,0.07,100,0.66,0.09,25.138,284.1,0.32,0.05
110.0,10.74,32.965,5.55,88.1,5.8,6.8,0.03,110,0.82,0.07,25.24,274.4,0.348,0.05
125.0,10.49,33.068,5.29,83.6,7.9,9.6,0.03,126,0.96,0.05,25.363,262.9,0.388,0.06
145.0,9.94,33.355,4.6,71.9,13.9,15.9,0.01,146,1.3,0.03,25.681,233.1,0.438,0.04
150.0,9.87,33.397,4.39,68.6,15.8,17.7,0.01,151,1.41,0.03,25.725,229.0,0.449,0.04
168.0,9.33,33.649,3.71,57.3,22.4,23.2,0.01,169,1.75,0.03,26.011,202.1,0.488,0.03
198.0,8.89,33.812,3.14,48.1,27.6,26.4,0.0,199,1.95,0.04,26.209,183.7,0.546,0.03
0.0,12.72,33.505,5.58,92.7,6.8,5.9,1.78,0,0.7,0.63,25.291,267.1,0.0,0.11
2.0,12.72,33.505,5.58,92.7,6.8,5.9,1.78,2,0.7,0.63,25.291,267.2,0.005,0.11
5.0,12.71,33.505,5.59,92.9,6.8,5.9,2.02,5,0.7,0.45,25.293,267.1,0.013,0.1
10.0,12.68,33.512,5.5,91.3,7.0,6.5,1.74,10,0.72,0.53,25.304,266.1,0.027,0.1
20.0,12.66,33.513,5.47,90.8,7.2,6.6,1.64,20,0.74,0.51,25.309,265.9,0.053,0.11
30.0,12.58,33.532,5.52,91.5,7.8,7.1,1.68,30,0.76,0.57,25.339,263.3,0.08,0.14
40.0,12.36,33.547,5.23,86.3,9.1,8.9,1.05,40,0.89,0.45,25.394,258.4,0.106,0.11
50.0,12.18,33.564,4.97,81.7,10.3,10.7,0.72,50,1.0,0.38,25.442,254.0,0.131,0.09
59.0,12.04,33.586,4.84,79.3,11.3,11.7,0.8,59,1.08,0.33,25.485,250.1,0.154,0.09
69.0,11.61,33.602,4.15,67.4,13.9,15.1,0.4,69,1.31,0.3,25.578,241.5,0.179,0.01
0.0,12.72,33.536,6.09,101.2,6.8,4.3,2.52,0,0.57,0.69,25.315,264.8,0.0,0.09
2.0,12.72,33.536,6.09,101.2,6.8,4.3,2.52,2,0.57,0.69,25.315,264.9,0.005,0.09
10.0,12.62,33.546,5.92,98.2,7.4,5.6,1.77,10,0.66,0.6,25.342,262.5,0.026,0.18
19.0,11.94,33.585,4.9,80.1,11.4,12.3,0.63,19,1.1,0.35,25.502,247.4,0.049,0.08
20.0,11.88,33.587,4.85,79.2,11.6,12.6,0.61,20,1.12,0.35,25.515,246.3,0.052,0.07
30.0,11.74,33.586,4.53,73.8,13.0,14.4,0.44,30,1.25,0.32,25.541,244.1,0.076,0.01
40.0,11.34,33.621,3.96,64.0,15.4,17.1,0.19,40,1.44,0.25,25.642,234.7,0.1,0.01
50.0,11.16,33.648,3.75,60.3,16.6,18.1,0.15,50,1.5,0.19,25.696,229.8,0.123,0.01
60.0,10.97,33.687,3.59,57.5,18.2,19.2,0.12,60,1.57,0.17,25.76,223.9,0.146,0.03
70.0,10.66,33.745,3.12,49.7,20.3,21.1,0.08,70,1.72,0.12,25.86,214.6,0.168,0.0
75.0,10.53,33.782,3.08,48.9,21.3,21.6,0.07,75,1.76,0.14,25.912,209.8,0.179,0.0
84.0,10.37,33.791,3.02,47.8,22.8,22.2,0.06,84,1.81,0.17,25.947,206.6,0.197,0.01
99.0,10.21,33.808,2.94,46.4,23.2,22.9,0.04,100,1.85,0.11,25.988,203.0,0.228,0.0
100.0,10.11,33.827,2.92,46.0,23.4,23.0,0.04,101,1.86,0.11,26.02,200.0,0.23,0.0
119.0,9.69,33.916,2.53,39.5,27.2,25.4,0.03,120,2.01,0.11,26.16,187.0,0.267,0.0
125.0,9.65,33.937,2.46,38.4,28.1,25.9,0.02,126,2.04,0.1,26.183,185.0,0.278,0.0
138.0,9.44,33.986,2.33,36.2,29.8,26.7,0.01,139,2.1,0.09,26.256,178.3,0.302,0.0
150.0,9.18,34.031,2.16,33.4,31.7,27.6,0.01,151,2.17,0.08,26.333,171.1,0.323,0.0
169.0,9.08,34.061,1.91,29.4,34.4,28.8,0.01,170,2.27,0.06,26.373,167.7,0.355,0.0
199.0,8.91,34.102,1.75,26.9,36.6,29.5,0.0,200,2.34,0.06,26.433,162.6,0.404,0.0
0.0,12.63,33.575,6.07,100.7,7.8,6.5,1.92,0,0.77,0.52,25.362,260.3,0.0,0.17
2.0,12.63,33.575,6.07,100.7,7.8,6.5,1.92,2,0.77,0.52,25.362,260.4,0.005,0.17
7.0,12.65,33.574,6.07,100.8,7.8,6.4,1.98,7,0.74,0.5,25.358,260.9,0.018,0.05
10.0,12.55,33.571,6.05,100.2,7.8,6.6,1.98,10,0.75,0.57,25.375,259.4,0.026,0.05
15.0,12.53,33.576,6.01,99.5,7.9,6.8,1.97,15,0.76,0.66,25.383,258.7,0.039,0.05
20.0,12.38,33.585,5.83,96.3,8.7,7.8,1.38,20,0.82,0.57,25.419,255.4,0.052,0.07
23.0,12.27,33.592,5.62,92.6,9.2,9.1,0.97,23,0.89,0.49,25.445,253.0,0.059,0.08
30.0,11.37,33.684,4.65,75.2,14.1,15.3,0.37,30,1.27,0.32,25.685,230.3,0.076,0.03
31.0,11.34,33.682,4.49,72.5,14.9,16.3,0.31,31,1.33,0.3,25.689,230.0,0.079,0.02
38.0,10.76,33.747,3.69,58.9,19.0,20.4,0.17,38,1.59,0.2,25.844,215.4,0.094,0.01
45.0,10.31,33.792,3.2,50.6,21.7,22.7,0.08,45,1.76,0.13,25.957,204.8,0.109,0.01
50.0,10.22,33.804,3.12,49.2,22.3,23.2,0.06,50,1.79,0.13,25.982,202.5,0.119,0.0
52.0,10.22,33.807,3.1,48.9,22.5,23.3,0.06,52,1.8,0.13,25.984,202.3,0.123,0.0
60.0,9.89,33.878,2.77,43.4,25.5,24.9,0.03,60,1.93,0.12,26.096,191.9,0.139,0.0
69.0,9.68,33.923,2.6,40.6,27.4,25.9,0.02,69,2.01,0.08,26.166,185.4,0.156,0.0
75.0,9.58,33.95,2.54,39.6,28.0,26.2,0.02,75,2.04,0.08,26.204,181.9,0.167,0.0
85.0,9.54,33.96,2.47,38.4,28.6,26.5,0.01,85,2.06,0.09,26.219,180.7,0.185,0.0
100.0,9.44,33.981,2.39,37.1,29.6,27.0,0.01,101,2.1,0.09,26.251,177.9,0.212,0.0
120.0,9.28,34.004,2.3,35.6,30.8,27.5,0.01,121,2.14,0.08,26.296,174.1,0.247,0.0
125.0,9.21,34.022,2.27,35.1,31.1,27.6,0.01,126,2.15,0.08,26.321,171.8,0.256,0.0
140.0,9.16,34.035,2.18,33.6,32.3,28.1,0.0,141,2.19,0.08,26.34,170.3,0.282,0.0
150.0,9.11,34.044,2.12,32.7,33.1,28.4,0.0,151,2.22,0.08,26.355,169.1,0.298,0.0
170.0,8.98,34.09,1.93,29.7,35.2,29.3,0.01,171,2.29,0.08,26.412,164.0,0.332,0.0
199.0,8.76,34.128,1.44,22.0,39.6,31.2,0.0,200,2.48,0.09,26.477,158.4,0.379,0.0
0.0,12.07,32.919,6.31,103.1,4.6,2.3,0.85,0,0.49,0.25,24.961,298.5,0.0,0.0
2.0,12.07,32.919,6.31,103.1,4.6,2.3,0.85,2,0.49,0.25,24.961,298.6,0.006,0.0
10.0,12.05,32.918,6.32,103.2,4.5,2.2,0.88,10,0.5,0.22,24.964,298.5,0.03,0.0
20.0,12.03,32.913,6.31,103.0,4.6,2.2,0.89,20,0.5,0.23,24.964,298.7,0.06,0.0
30.0,11.71,32.915,6.17,100.0,5.4,3.9,0.78,30,0.61,0.3,25.025,293.1,0.089,0.04
39.0,11.35,33.008,5.89,94.8,6.8,7.0,0.46,39,0.8,0.26,25.163,280.2,0.115,0.01
50.0,11.17,33.017,5.82,93.3,7.2,7.5,0.38,50,0.84,0.19,25.203,276.6,0.146,0.01
60.0,11.23,33.19,5.93,95.3,8.8,8.6,0.24,60,0.89,0.4,25.327,265.1,0.173,0.01
68.0,11.23,33.228,5.87,94.3,9.2,9.4,0.18,68,0.93,0.18,25.357,262.4,0.194,0.0
75.0,10.96,33.27,5.45,87.1,10.9,11.9,0.12,75,1.08,0.14,25.438,254.9,0.212,0.0
85.0,10.31,33.331,4.69,73.9,14.0,16.1,0.05,85,1.34,0.08,25.599,239.7,0.237,0.0
100.0,10.04,33.514,3.99,62.6,18.2,20.4,0.04,100,1.62,0.05,25.787,222.0,0.271,0.0
119.0,9.5,33.729,3.32,51.5,23.6,24.2,0.01,120,1.86,0.03,26.045,197.9,0.311,0.0
125.0,9.33,33.801,3.1,48.0,25.1,25.3,0.01,126,1.93,0.04,26.129,190.0,0.323,0.0
140.0,9.15,33.873,2.64,40.7,28.5,27.4,0.0,141,2.09,0.05,26.214,182.2,0.351,0.0
150.0,8.92,33.938,2.57,39.4,30.2,27.8,0.0,151,2.12,0.04,26.302,174.0,0.369,0.0
170.0,8.64,33.989,2.42,36.9,33.0,28.7,0.01,171,2.18,0.02,26.386,166.3,0.403,0.0
199.0,8.1,34.003,2.74,41.3,36.2,28.6,0.0,200,2.12,0.04,26.479,157.8,0.45,0.0
0.0,13.52,32.937,6.01,101.2,2.1,0.0,0.45,0,0.36,0.15,24.692,324.1,0.0,0.0
2.0,13.52,32.937,6.01,101.2,2.1,0.0,0.45,2,0.36,0.15,24.692,324.1,0.006,0.0
10.0,13.52,32.934,6.01,101.2,2.0,0.0,0.42,10,0.36,0.13,24.69,324.6,0.032,0.0
12.0,13.52,32.94,6.01,101.2,2.0,0.0,0.41,12,0.36,0.13,24.695,324.2,0.039,0.0
20.0,13.48,32.941,6.01,101.1,2.0,0.1,0.39,20,0.37,0.14,24.704,323.5,0.065,0.02
29.0,12.56,32.873,6.05,99.8,3.1,1.6,0.45,29,0.49,0.17,24.833,311.5,0.093,0.12
30.0,12.23,32.808,6.07,99.4,3.2,1.7,0.48,30,0.5,0.18,24.845,310.3,0.097,0.12
36.0,12.25,32.822,6.17,101.1,3.6,2.0,0.61,36,0.51,0.21,24.852,309.7,0.115,0.09
